OBJECTID,ZIP,ZIP_dbl,Total_Population_2010,Total_Population_2011_2015_ACS,Population_25_years_and_over,Less_than_HS_or_GED,Percent_Less_than_HS_or_GED,BA_or_Higher,Percent_BA_or_Higher,GlobalID,last_edited_date
166,30507,30507,28399,29735,17621,6194,35.2,2059,11.7,{6CDA4E4C-889C-452C-8B10-DEE79939108D},
167,30506,30506,41667,42886,29480,4231,14.4,9457,32.1,{31475504-4258-4B0F-9074-AD35A883993B},
170,30011,30011,14402,14600,9390,1245,13.3,1918,20.4,{EF199C91-453E-459E-BFBB-96E74DAFF939},
171,30620,30620,12486,12460,8040,1262,15.7,1432,17.8,{FC5AE200-74EC-40C6-B2CE-9EB93035A72B},
172,30680,30680,37837,40151,25422,4878,19.2,3913,15.4,{126B945E-8FD8-422E-B057-C07939ED32E1},
173,30666,30666,8659,9837,6340,1050,16.6,1284,20.3,{7B22CC51-0DC9-4F6B-BB92-72CE138D9D3B},
174,30641,30641,1810,1764,1467,240,16.4,224,15.3,{499C9319-EEBB-4A43-B609-BD8351C4B699},
175,30052,30052,59451,59699,37413,3928,10.5,8779,23.5,{E717F6F9-BFCD-4562-A393-A4A527B357B2},
176,30655,30655,24136,23928,15355,2731,17.8,2604,17,{C35C0D44-9F5C-4F91-B161-55A3409E08DA},
177,30025,30025,9270,9312,6289,847,13.5,1319,21,{213FDBB9-BEC0-4B44-8296-3FD8A37EA4E0},
178,30656,30656,15133,16036,10616,1518,14.3,1933,18.2,{1A99B75E-010F-41C6-81EC-FBD0BE03EC58},
179,30016,30016,51140,52641,32335,4492,13.9,6337,19.6,{5275D3F4-8075-4D0C-8916-B15F6EFE61DA},
180,30054,30054,11985,11472,7513,950,12.6,1585,21.1,{ECB7C9FD-AFE8-4147-99AC-888E5900E024},
181,30014,30014,35037,37433,23866,4765,20,4615,19.3,{92B88DAC-075E-42D6-9535-363A795A474C},
182,30680,30680,37837,40151,25422,4878,19.2,3913,15.4,{EA86EB7A-F077-47AF-A158-0C2101505240},
183,30055,30055,3018,2397,1624,238,14.7,246,15.1,{BA2096BF-18D6-45A7-B3A6-B83ACB67CFBC},
184,30185,30185,3892,3859,2577,546,21.2,348,13.5,{575ECB36-6B13-4CE8-8D48-D9A159711119},
185,30083,30083,50384,54845,34109,4080,12,8690,25.5,{286D66EF-F56E-44CC-A5BF-21C985F26A19},
